device_id,owner_address,timestamp,steps_count,heart_rate,calories_burned,exercise_duration,activity_type,activity_confidence,ambient_temperature,encrypted_data,data_hash
did:lcore:health-tracker-2,PLACEHOLDER_FOR_CARTESI,1730419200,1484,67,102,55,Walking,0.9893585731023204,24.94301727307009,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-1,PLACEHOLDER_FOR_CARTESI,1730420100,1255,102,197,40,Running,0.8996341890954258,29.720179513698064,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-9,PLACEHOLDER_FOR_CARTESI,1730422320,149,104,277,35,Walking,0.8769319116276612,28.696675128382655,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-7,PLACEHOLDER_FOR_CARTESI,1730421900,2940,98,426,16,Cycling,0.9165013183371696,23.353118256189063,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-9,PLACEHOLDER_FOR_CARTESI,1730422080,3227,140,233,20,Walking,0.8845249056550106,22.06029284270428,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-10,PLACEHOLDER_FOR_CARTESI,1730426100,1432,89,405,48,Running,0.9865025830569318,28.14272595980577,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-9,PLACEHOLDER_FOR_CARTESI,1730429280,3713,164,144,51,Walking,0.8887327558943945,28.840141978438886,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-9,PLACEHOLDER_FOR_CARTESI,1730430540,4582,79,339,47,Running,0.9801411830867472,26.553138561680377,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-6,PLACEHOLDER_FOR_CARTESI,1730427360,3781,110,230,51,Sedentary,0.8602632453937823,24.852890337448542,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-6,PLACEHOLDER_FOR_CARTESI,1730427300,3652,101,165,10,Running,0.9627184951195482,21.81767148893606,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-8,PLACEHOLDER_FOR_CARTESI,1730433600,4548,132,60,53,Sedentary,0.8749199980598337,29.40437365970669,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-4,PLACEHOLDER_FOR_CARTESI,1730435040,1389,93,464,49,Walking,0.9601520791025676,27.868750610453212,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-7,PLACEHOLDER_FOR_CARTESI,1730426400,1177,158,349,43,Cycling,0.9242817052439396,20.476056560943174,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-5,PLACEHOLDER_FOR_CARTESI,1730427000,3039,159,357,51,Cycling,0.9971109135330398,20.940606886646872,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-10,PLACEHOLDER_FOR_CARTESI,1730442720,372,76,76,24,Sedentary,0.8874462768902478,27.6100389577756,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-6,PLACEHOLDER_FOR_CARTESI,1730445300,2286,138,292,36,Walking,0.8993416092490394,20.391492482399453,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-8,PLACEHOLDER_FOR_CARTESI,1730437440,1106,98,167,46,Sedentary,0.9067384990309624,25.98448204971655,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-4,PLACEHOLDER_FOR_CARTESI,1730435520,864,132,497,42,Cycling,0.8744733569711698,29.011191193476108,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-8,PLACEHOLDER_FOR_CARTESI,1730434320,4063,168,180,57,Sedentary,0.906367808625955,26.83001637089238,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-7,PLACEHOLDER_FOR_CARTESI,1730430600,2585,143,430,23,Sedentary,0.984190838101989,29.909542107977835,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-1,PLACEHOLDER_FOR_CARTESI,1730451600,4919,148,122,52,Cycling,0.98082642314477,21.73410270166565,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-6,PLACEHOLDER_FOR_CARTESI,1730438100,3101,119,169,59,Running,0.8623727749834857,22.104769967023593,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-2,PLACEHOLDER_FOR_CARTESI,1730436360,2869,63,216,44,Sedentary,0.9234808113769712,25.710506409017828,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-10,PLACEHOLDER_FOR_CARTESI,1730453700,987,76,466,50,Walking,0.967466367654348,21.392275558278783,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-9,PLACEHOLDER_FOR_CARTESI,1730446560,84,87,386,15,Running,0.9188163155907684,26.369735791442817,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-7,PLACEHOLDER_FOR_CARTESI,1730452200,387,172,400,22,Cycling,0.9586176318449796,28.41175445451914,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-10,PLACEHOLDER_FOR_CARTESI,1730461320,2991,169,374,42,Walking,0.8876434218238217,23.707052223089857,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-7,PLACEHOLDER_FOR_CARTESI,1730459700,4984,150,206,46,Running,0.9295021726967037,26.566037942669173,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:health-tracker-5,PLACEHOLDER_FOR_CARTESI,1730454480,1650,111,282,31,Sedentary,0.8503096478194383,24.179710857718717,CARTESI_GENERATED,CARTESI_GENERATED
