device_id,owner_address,timestamp,chlorophyll_avg,height_rate,wet_weight_vegetative,leaf_area_avg,leaf_count_avg,root_diameter_avg,root_dry_weight,dry_matter_vegetative,root_length_avg,plant_class,encrypted_data,data_hash
did:lcore:agri-R1,PLACEHOLDER_FOR_CARTESI,1709251200,34.53346785732356,54.56698291488631,1.1474490163213231,1284.2295490809165,4.999713080337564,16.274917909603804,1.7068098312939444,18.3999815454843,19.739037367484507,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R1,PLACEHOLDER_FOR_CARTESI,1709272800,34.489028306353774,54.567692119609205,1.14952979764288,1284.2477438838728,5.0242591545154855,16.26945189117167,1.7009296662879505,18.39828850474991,19.758835718631143,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R2,PLACEHOLDER_FOR_CARTESI,1709294400,33.100404726849035,67.06734370835316,1.1046472057956482,1009.2089958405224,5.007651977964805,15.980759942209026,1.1853914852825431,19.398788776500265,20.840821891276754,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R1,PLACEHOLDER_FOR_CARTESI,1709316000,34.49831858647996,54.55904852397672,1.1377588704861894,1284.22762260433,4.99150128248354,16.27670962189551,1.7163960081851597,18.413613470893587,19.736097926038056,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R3,PLACEHOLDER_FOR_CARTESI,1709337600,36.29700833886112,45.58889400621048,1.3632054730045386,981.4703101636017,4.003681875641396,16.979893625579873,0.7774284115100135,31.423771909614224,17.331893882805236,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R3,PLACEHOLDER_FOR_CARTESI,1709359200,36.2877217297622,45.59858468852574,1.3537900729454275,981.4609933812784,3.998620866921919,16.991602771317485,0.7608417051845827,31.40363916345493,17.324860637131312,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R1,PLACEHOLDER_FOR_CARTESI,1709380800,34.498869449032355,54.5562467746708,1.165056074170428,1284.2376448322054,4.992955067436744,16.26728226104572,1.6928351628617129,18.414687525673827,19.715916084423355,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R2,PLACEHOLDER_FOR_CARTESI,1709402400,33.105557891707114,67.07340616778447,1.0974440998129422,1009.2396383903576,4.991835242966011,15.965587857379282,1.1895755718433818,19.407306652950947,20.838177400554272,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R2,PLACEHOLDER_FOR_CARTESI,1709424000,33.09244759312409,67.06165905780294,1.1030984239879578,1009.218886681604,4.995130894068538,15.964760983793669,1.1828382115269256,19.387572871008658,20.82433483824105,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R1,PLACEHOLDER_FOR_CARTESI,1709445600,34.483694934504676,54.57112727882815,1.1788994474408845,1284.224033638675,4.982078081838961,16.27388393495425,1.7020403428330009,18.414643259447953,19.745347134689126,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R1,PLACEHOLDER_FOR_CARTESI,1709467200,34.48356335897399,54.56473773997091,1.1400966671646258,1284.246212385941,4.993761515663572,16.262433278640152,1.70352110352044,18.390504039196376,19.715927440784263,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R2,PLACEHOLDER_FOR_CARTESI,1709488800,33.083002008873954,67.05280606546243,1.1142274222235282,1009.2099770871506,5.0127507729549325,15.957382329106194,1.1793881000372677,19.3961890864452,20.85106375870888,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R1,PLACEHOLDER_FOR_CARTESI,1709510400,34.50336975650057,54.56071779149466,1.1674352543244564,1284.235961686357,4.99447861475716,16.261276536652804,1.7245868103147708,18.39346260868027,19.7356246297233,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R2,PLACEHOLDER_FOR_CARTESI,1709532000,33.101053549604764,67.08799952632077,1.1036934952782018,1009.2309206172804,5.011843295758557,15.963669030224946,1.1858434673885487,19.409147131031368,20.841834891977513,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R1,PLACEHOLDER_FOR_CARTESI,1709553600,34.50224304624905,54.54403679555461,1.1570890415654889,1284.234949914521,5.01325639238826,16.27437972982317,1.70056224929603,18.40543176061881,19.726253786399976,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R1,PLACEHOLDER_FOR_CARTESI,1709575200,34.50440919869888,54.54852141401519,1.1540471162720185,1284.2293157812314,5.0042570725887,16.273285586711268,1.6936645695108554,18.393933597381043,19.72892588364974,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R1,PLACEHOLDER_FOR_CARTESI,1709596800,34.508044243005344,54.56815102067826,1.1470992020958863,1284.2175330196037,4.998235815618206,16.290461840079722,1.715681824407176,18.381747195281605,19.743758335689133,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R1,PLACEHOLDER_FOR_CARTESI,1709618400,34.50582554608472,54.5672615569902,1.152385270251847,1284.2442456396714,5.002948917415069,16.27045926406535,1.7213295317614,18.38971813309024,19.719536127900724,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R2,PLACEHOLDER_FOR_CARTESI,1709640000,33.08850721861552,67.06720295435109,1.112119675446242,1009.2248489719236,4.9907367482455065,15.946124228248454,1.1718709226390909,19.4006574062279,20.85803090573151,SA,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:agri-R3,PLACEHOLDER_FOR_CARTESI,1709661600,36.29185865082148,45.602968864746146,1.3473173387374278,981.474686976576,3.999853188953439,16.978028794163784,0.7542202040981187,31.40024561731988,17.336357565762555,SA,CARTESI_GENERATED,CARTESI_GENERATED
